panelist,session,rank,product,cocoa_a,milk_a,cocoa_f,milk_f,caramel,vanilla,sweetness,acidity,bitterness,astringency,crunchy,melting,sticky,granular
id_004,session_01,order_04,choc6,8,5,7,2,5,0,2,2,5,6,6,1,9,7
id_004,session_01,order_06,choc4,9,1,10,0,0,4,0,9,9,9,5,1,6,7
id_005,session_01,order_03,choc4,8,4,9,2,2,2,4,3,7,7,9,5,7,5
id_005,session_01,order_01,choc5,8,5,6,4,6,0,6,3,6,5,7,5,8,5
id_005,session_01,order_02,choc3,8,2,5,4,5,2,8,6,3,3,6,8,8,0
id_005,session_01,order_04,choc1,7,6,9,2,0,2,2,4,8,7,7,4,6,3
id_005,session_01,order_06,choc2,7,3,5,3,4,2,8,5,3,2,5,5,5,0
id_005,session_01,order_05,choc6,4,6,7,3,5,5,8,5,3,7,9,4,4,2
id_006,session_01,order_03,choc5,9,1,8,3,3,0,8,1,2,1,7,9,1,0
id_006,session_01,order_01,choc3,7,2,7,5,7,1,7,2,3,0,8,3,8,3
id_006,session_01,order_06,choc6,4,7,5,7,6,4,7,4,8,0,5,7,9,5
id_006,session_01,order_02,choc1,8,3,10,1,2,2,8,3,7,5,7,6,9,0
id_006,session_01,order_05,choc4,7,6,8,2,6,3,5,5,7,4,7,4,9,5
id_006,session_01,order_04,choc2,5,4,8,2,4,3,8,5,7,6,10,8,7,5
id_007,session_01,order_02,choc6,10,1,8,1,7,1,4,6,6,0,9,1,7,1
id_007,session_01,order_01,choc3,9,2,6,2,0,1,7,3,2,0,2,9,4,0
id_007,session_01,order_06,choc4,5,6,10,1,2,2,7,4,9,1,9,5,8,7
id_007,session_01,order_03,choc5,9,2,9,1,1,4,6,8,8,5,9,1,7,8
id_007,session_01,order_04,choc2,3,8,7,4,0,5,7,8,4,8,9,4,3,2
id_007,session_01,order_05,choc1,6,7,5,5,4,4,4,8,8,6,5,4,8,8
id_008,session_01,order_01,choc1,9,4,9,1,2,1,4,6,8,1,5,7,3,1
id_008,session_01,order_03,choc4,9,3,7,1,4,5,7,1,3,6,9,3,3,6
id_008,session_01,order_05,choc2,3,7,7,3,1,3,8,6,7,7,8,1,2,7
id_008,session_01,order_04,choc3,2,8,2,10,9,3,7,2,0,1,2,8,9,0
id_008,session_01,order_06,choc6,8,7,4,4,8,3,8,1,3,7,10,0,5,10
id_008,session_01,order_02,choc5,5,5,5,3,6,1,7,4,2,4,8,2,3,2
id_009,session_01,order_03,choc2,6,2,7,2,4,3,6,4,4,4,9,6,2,5
id_009,session_01,order_05,choc6,5,6,6,7,4,2,8,3,2,1,9,6,5,2
id_009,session_01,order_02,choc1,8,3,8,3,4,2,4,8,8,4,6,5,6,2
id_009,session_01,order_01,choc4,3,7,6,5,2,2,7,7,8,6,7,5,8,2
id_009,session_01,order_04,choc5,2,8,3,7,3,4,5,2,2,1,9,2,3,3
id_009,session_01,order_06,choc3,2,10,1,10,8,3,8,1,1,1,1,9,4,1
id_010,session_01,order_02,choc3,6,8,6,8,9,7,9,2,1,0,6,9,7,3
id_010,session_01,order_04,choc6,10,4,9,3,5,6,4,1,5,2,9,6,2,2
id_010,session_01,order_01,choc5,9,6,9,4,5,2,5,1,8,3,9,8,1,5
id_010,session_01,order_03,choc1,9,6,9,2,4,3,5,2,7,6,9,8,6,7
id_010,session_01,order_05,choc4,9,4,9,4,3,7,3,1,7,6,7,9,5,3
id_010,session_01,order_06,choc2,9,4,8,3,5,7,6,1,2,5,9,8,7,2
id_011,session_01,order_05,choc5,7,5,8,2,3,7,4,4,5,4,6,6,5,4
id_011,session_01,order_04,choc4,6,2,6,1,1,2,1,2,6,7,3,3,6,4
id_011,session_01,order_06,choc1,3,2,5,2,2,3,1,3,7,1,5,6,2,5
id_011,session_01,order_01,choc6,6,3,7,3,3,1,2,2,5,6,6,2,2,3
id_011,session_01,order_02,choc2,2,2,2,3,3,3,1,3,5,2,3,2,2,5
id_011,session_01,order_03,choc3,4,2,2,8,7,7,7,2,2,1,1,8,8,2
id_012,session_01,order_05,choc3,4,9,6,9,8,8,6,1,0,0,1,8,6,0
id_012,session_01,order_03,choc6,7,2,5,3,7,6,5,3,5,0,7,3,3,0
id_012,session_01,order_02,choc4,5,4,7,3,0,0,4,4,8,0,6,3,4,0
id_012,session_01,order_04,choc1,8,4,9,2,6,1,4,2,8,0,3,3,2,0
id_012,session_01,order_06,choc5,9,6,7,5,8,5,7,4,6,1,5,6,3,0
id_012,session_01,order_01,choc2,9,6,9,2,3,0,5,0,9,1,6,8,7,0
id_013,session_01,order_01,choc2,7,2,7,1,1,1,3,3,2,1,8,3,2,2
id_013,session_01,order_02,choc6,7,3,7,3,1,1,7,2,2,2,7,3,1,0
id_013,session_01,order_05,choc5,8,4,7,3,2,0,5,3,3,2,6,3,1,7
id_013,session_01,order_03,choc4,9,1,8,1,0,0,1,6,6,3,5,7,3,5
id_013,session_01,order_04,choc1,8,1,9,0,0,0,1,8,8,1,6,6,2,3
id_013,session_01,order_06,choc3,4,7,2,8,4,2,8,0,0,0,6,7,2,1
id_014,session_01,order_05,choc3,5,4,5,6,4,1,7,3,2,1,4,7,2,2
id_014,session_01,order_01,choc4,7,2,7,1,2,0,5,1,4,1,6,5,3,2
id_014,session_01,order_02,choc2,5,3,7,2,2,1,5,1,6,1,6,5,5,3
id_014,session_01,order_03,choc5,6,3,6,3,2,1,7,2,3,1,7,7,4,2
id_014,session_01,order_04,choc6,6,3,6,4,2,1,4,2,5,2,6,6,5,5
id_014,session_01,order_06,choc1,6,3,7,2,1,1,4,2,6,3,2,4,6,6
id_015,session_01,order_01,choc5,7,1,6,2,0,1,2,0,1,2,7,8,0,1
id_015,session_01,order_02,choc1,9,0,10,0,0,1,1,0,8,6,9,7,0,1
id_015,session_01,order_03,choc3,5,3,2,9,9,5,7,1,0,3,3,9,3,6
id_015,session_01,order_05,choc4,6,3,9,2,0,0,1,4,8,6,7,3,1,2
id_015,session_01,order_04,choc6,7,0,8,0,0,2,1,1,6,4,10,3,1,2
id_015,session_01,order_06,choc2,6,3,10,1,0,0,2,4,8,4,10,3,1,2
id_016,session_01,order_01,choc2,8,3,7,3,3,5,7,1,1,1,7,6,2,1
id_016,session_01,order_03,choc6,7,5,7,6,5,2,8,1,1,1,7,8,9,8
id_016,session_01,order_04,choc3,6,10,4,7,9,9,7,3,1,1,2,7,7,3
id_016,session_01,order_06,choc5,8,6,8,2,0,0,9,7,5,4,9,2,8,7
id_016,session_01,order_02,choc4,3,6,3,3,6,5,6,10,8,3,5,6,7,7
id_016,session_01,order_05,choc1,7,4,8,1,1,1,5,2,8,7,8,2,7,7
id_017,session_01,order_06,choc3,6,5,4,10,7,6,10,2,3,3,1,8,7,6
id_017,session_01,order_05,choc5,7,3,5,3,4,3,6,1,3,3,6,0,6,10
id_017,session_01,order_03,choc1,7,3,8,1,1,1,1,8,7,4,4,8,5,2
id_017,session_01,order_02,choc2,3,8,7,4,1,0,3,8,7,3,7,1,5,9
id_017,session_01,order_01,choc6,7,4,5,2,3,3,5,7,2,1,7,2,6,6
id_017,session_01,order_04,choc4,7,3,5,1,1,1,1,5,8,2,2,1,8,9
id_018,session_01,order_02,choc3,1,9,4,8,8,2,7,3,1,3,2,7,5,0
id_018,session_01,order_03,choc2,9,5,8,2,5,5,4,7,1,4,8,5,5,0
id_018,session_01,order_01,choc4,4,7,9,2,0,0,6,7,2,5,8,0,0,1
id_018,session_01,order_05,choc6,8,7,8,3,5,1,8,2,4,8,8,3,1,0
id_018,session_01,order_04,choc5,9,4,7,3,2,0,2,3,6,2,5,8,0,0
id_018,session_01,order_06,choc1,7,8,7,2,0,0,2,10,7,8,6,1,0,0
id_019,session_01,order_01,choc1,8,1,9,0,1,1,1,3,8,2,5,4,6,1
id_019,session_01,order_02,choc6,4,8,6,5,3,1,2,1,6,4,7,7,5,1
id_019,session_01,order_06,choc4,7,4,9,0,0,0,2,2,9,4,7,5,5,4
id_019,session_01,order_03,choc5,7,3,9,1,6,3,2,2,8,2,8,4,1,1
id_019,session_01,order_05,choc3,5,5,4,9,5,2,7,2,1,6,3,8,5,2
id_019,session_01,order_04,choc2,4,3,6,4,7,5,2,1,9,2,9,5,3,1
id_020,session_01,order_01,choc6,8,3,9,0,3,0,5,2,2,2,10,6,2,0
id_020,session_01,order_02,choc1,3,9,10,0,2,0,3,2,8,8,9,4,5,3
id_020,session_01,order_03,choc5,8,5,8,2,4,0,9,0,4,3,8,3,6,4
id_020,session_01,order_06,choc4,9,2,7,0,2,3,5,6,3,6,10,0,8,10
id_020,session_01,order_04,choc2,3,8,6,0,6,0,4,0,4,4,5,4,7,6
id_020,session_01,order_05,choc3,2,7,0,10,6,0,10,0,0,1,0,8,10,0
id_021,session_01,order_03,choc3,3,6,3,5,5,0,8,0,3,0,5,7,0,0
id_021,session_01,order_01,choc5,6,3,6,0,1,0,4,2,4,2,5,3,1,0
id_021,session_01,order_06,choc2,7,2,6,3,0,0,3,0,5,1,8,6,4,3
id_021,session_01,order_02,choc6,4,0,2,2,1,0,6,0,1,0,6,2,3,4
id_021,session_01,order_04,choc1,4,3,2,0,0,0,1,4,5,6,2,5,4,5
id_021,session_01,order_05,choc4,5,3,4,0,0,0,0,0,4,4,6,4,3,5
id_022,session_01,order_01,choc1,8,1,10,0,0,0,5,3,9,0,8,6,1,0
id_022,session_01,order_06,choc3,3,10,6,7,5,0,4,2,0,0,1,10,1,0
id_022,session_01,order_05,choc5,3,7,9,3,0,0,6,1,9,0,10,7,0,2
id_022,session_01,order_02,choc2,5,5,5,2,0,0,6,0,1,0,8,4,2,2
id_022,session_01,order_04,choc4,4,7,6,5,0,0,3,5,5,0,8,6,1,4
id_022,session_01,order_03,choc6,5,7,6,0,0,0,7,2,6,0,7,4,2,1
id_023,session_01,order_02,choc3,7,6,2,9,7,3,7,2,1,0,3,5,4,2
id_023,session_01,order_01,choc4,7,4,9,4,3,2,4,6,7,1,8,1,4,3
id_023,session_01,order_04,choc5,9,1,8,4,4,1,6,6,7,2,9,2,1,2
id_023,session_01,order_03,choc2,9,4,9,2,1,0,4,5,6,3,8,1,0,2
id_023,session_01,order_06,choc6,7,4,9,5,2,1,7,8,6,1,10,2,4,5
id_023,session_01,order_05,choc1,5,5,10,2,1,1,5,7,8,3,9,2,5,5
id_024,session_01,order_05,choc6,6,5,6,4,3,1,5,6,4,5,5,5,4,1
id_024,session_01,order_01,choc2,6,5,7,5,1,2,3,3,5,5,6,5,2,1
id_024,session_01,order_04,choc3,3,7,2,8,7,4,8,1,0,2,2,7,7,2
id_024,session_01,order_02,choc4,4,6,6,3,0,1,5,7,3,7,4,2,6,3
id_024,session_01,order_06,choc5,7,2,6,1,0,0,4,7,6,7,7,4,3,1
id_024,session_01,order_03,choc1,6,2,7,1,0,0,2,8,6,7,7,2,2,7
id_025,session_01,order_02,choc5,9,6,8,3,0,0,4,0,6,2,7,9,0,0
id_025,session_01,order_03,choc4,10,3,9,1,0,0,4,0,6,4,7,9,1,0
id_025,session_01,order_04,choc6,9,5,9,3,0,0,3,1,7,7,8,8,6,0
id_025,session_01,order_06,choc1,7,6,9,2,0,0,2,1,8,6,7,9,7,0
id_025,session_01,order_05,choc2,7,6,7,3,0,0,4,1,6,6,8,9,8,0
id_025,session_01,order_01,choc3,6,8,6,8,0,0,6,0,2,2,2,8,1,0
id_026,session_01,order_03,choc1,7,1,8,1,1,0,0,2,7,2,7,5,5,2
id_026,session_01,order_05,choc4,7,3,8,3,6,0,1,0,8,4,8,3,6,3
id_026,session_01,order_06,choc2,7,1,7,2,6,1,3,2,7,3,9,1,7,3
id_026,session_01,order_01,choc6,6,7,4,2,7,1,3,5,7,0,8,2,7,1
id_026,session_01,order_02,choc5,8,3,5,5,7,0,2,3,5,3,6,4,4,0
id_026,session_01,order_04,choc3,6,1,1,6,7,2,7,0,1,0,3,7,7,0
id_027,session_01,order_01,choc3,6,8,5,4,7,2,3,7,5,1,8,7,2,1
id_027,session_01,order_03,choc5,7,6,7,2,5,1,8,7,7,2,9,6,2,0
id_027,session_01,order_05,choc6,6,8,8,7,6,3,8,8,6,3,9,6,2,1
id_027,session_01,order_02,choc2,9,6,8,3,6,2,8,7,6,5,8,7,2,2
id_027,session_01,order_06,choc1,9,6,8,5,2,2,7,7,6,3,9,7,3,3
id_027,session_01,order_04,choc4,6,7,8,3,2,2,3,4,7,3,8,5,6,2
id_028,session_01,order_04,choc2,8,3,10,0,0,0,6,0,4,4,10,3,4,2
id_028,session_01,order_01,choc5,8,2,9,0,0,0,6,0,6,0,7,2,1,1
id_028,session_01,order_03,choc6,9,3,8,0,1,0,7,0,4,1,8,1,1,2
id_028,session_01,order_02,choc3,1,7,3,9,7,1,9,0,0,0,5,7,7,0
id_028,session_01,order_06,choc4,8,2,8,1,4,1,6,1,4,1,5,2,6,0
id_028,session_01,order_05,choc1,8,0,8,0,0,0,4,0,8,7,2,1,4,5
id_029,session_01,order_01,choc2,8,1,8,1,0,1,1,0,4,3,7,2,0,0
id_029,session_01,order_02,choc4,5,9,4,1,8,6,2,4,3,6,2,2,7,1
id_029,session_01,order_04,choc1,8,4,6,1,3,0,3,8,5,7,7,2,2,4
id_029,session_01,order_03,choc3,8,3,1,10,8,7,9,1,0,1,1,7,0,0
id_029,session_01,order_05,choc5,4,2,5,8,9,1,9,6,8,4,9,7,0,0
id_029,session_01,order_06,choc6,2,8,1,9,7,8,8,1,7,8,5,7,0,1
id_001,session_02,order_03,choc3,4,7,2,9,7,7,9,1,2,3,3,8,5,6
id_001,session_02,order_01,choc2,7,7,6,6,3,4,7,6,7,7,6,3,8,4
id_001,session_02,order_02,choc4,7,5,6,5,5,4,7,3,5,3,3,6,4,6
id_001,session_02,order_06,choc6,6,5,5,6,5,3,7,2,3,4,4,2,7,7
id_001,session_02,order_04,choc1,8,5,8,3,2,2,6,2,8,3,6,2,2,7
id_001,session_02,order_05,choc5,5,6,5,5,3,3,7,2,2,5,7,3,3,2
id_002,session_02,order_05,choc3,5,6,4,8,6,2,7,0,0,0,3,6,3,1
id_002,session_02,order_03,choc2,5,5,4,4,2,1,6,0,1,0,8,3,6,0
id_002,session_02,order_04,choc6,6,5,5,5,1,0,6,0,0,0,5,3,3,4
id_002,session_02,order_02,choc1,6,5,8,2,0,0,1,0,2,0,6,6,7,1
id_002,session_02,order_01,choc4,4,8,6,5,0,0,4,0,1,0,8,2,4,5
id_002,session_02,order_06,choc5,8,5,6,3,0,0,3,0,2,0,4,2,4,3
id_003,session_02,order_06,choc3,2,6,4,8,6,3,10,0,1,0,2,9,5,1
id_003,session_02,order_04,choc5,7,2,5,3,5,2,4,1,2,2,3,6,2,4
id_003,session_02,order_05,choc2,9,2,6,4,4,4,7,3,2,2,3,8,3,2
id_003,session_02,order_01,choc1,8,2,7,1,5,3,2,8,8,5,6,3,2,4
id_003,session_02,order_02,choc6,5,6,5,6,4,3,6,1,2,1,6,5,5,3
id_003,session_02,order_03,choc4,6,4,6,3,5,1,6,6,2,3,6,5,2,1
id_004,session_02,order_01,choc5,8,3,9,0,6,0,0,8,7,9,10,8,10,0
id_004,session_02,order_02,choc3,4,8,6,10,7,4,9,0,5,0,6,8,8,9
id_004,session_02,order_06,choc4,8,2,6,3,4,4,4,8,9,6,7,1,4,7
id_004,session_02,order_04,choc2,6,4,7,3,8,2,7,3,8,3,7,0,5,5
id_004,session_02,order_03,choc6,9,0,9,1,5,0,2,6,9,7,10,1,8,9
id_004,session_02,order_05,choc1,7,1,7,0,0,0,8,5,6,9,4,0,4,10
id_005,session_02,order_05,choc6,5,6,6,4,5,5,8,4,2,2,9,8,3,1
id_005,session_02,order_03,choc5,8,6,8,6,2,2,7,4,4,6,8,3,5,2
id_005,session_02,order_01,choc3,6,6,4,6,6,6,8,5,2,4,8,4,7,2
id_005,session_02,order_02,choc2,9,6,8,3,4,0,6,2,4,2,10,5,5,2
id_005,session_02,order_04,choc4,8,2,8,3,3,0,5,3,3,4,9,2,2,5
id_005,session_02,order_06,choc1,10,1,10,3,0,0,3,5,7,7,7,7,3,6
id_006,session_02,order_04,choc3,5,7,7,8,7,4,7,3,6,2,7,9,1,2
id_006,session_02,order_02,choc5,6,6,8,5,5,2,8,3,7,6,8,8,4,3
id_006,session_02,order_03,choc1,5,3,8,7,6,6,8,6,7,7,6,9,2,1
id_006,session_02,order_01,choc6,8,6,7,6,4,1,5,4,4,0,6,5,8,5
id_006,session_02,order_05,choc4,3,5,8,4,3,3,8,4,8,5,8,6,3,3
id_006,session_02,order_06,choc2,7,6,8,5,3,4,7,5,7,4,9,5,6,5
id_007,session_02,order_02,choc5,9,4,9,1,7,0,3,6,7,7,6,2,9,7
id_007,session_02,order_05,choc2,9,3,8,3,0,0,5,5,9,0,9,1,5,9
id_007,session_02,order_01,choc3,4,7,4,9,5,0,8,3,4,0,3,5,4,0
id_007,session_02,order_03,choc4,6,4,2,2,5,6,4,5,0,9,9,6,6,7
id_007,session_02,order_04,choc6,2,7,4,5,5,0,1,4,1,0,9,1,2,7
id_007,session_02,order_06,choc1,5,6,5,2,0,0,3,9,3,8,9,6,6,5
id_008,session_02,order_01,choc2,10,2,9,0,6,1,3,8,2,6,9,5,4,9
id_008,session_02,order_02,choc4,6,2,9,1,7,9,8,9,7,7,6,9,5,7
id_008,session_02,order_05,choc6,8,7,9,2,1,7,7,4,8,8,7,5,3,5
id_008,session_02,order_06,choc5,8,1,6,3,9,5,8,4,2,7,10,2,3,5
id_008,session_02,order_03,choc1,7,8,10,3,10,5,3,10,7,9,7,10,8,2
id_008,session_02,order_04,choc3,3,9,1,10,10,6,9,6,0,3,3,10,9,0
id_009,session_02,order_03,choc2,6,3,7,1,3,2,7,3,4,4,8,4,3,7
id_009,session_02,order_04,choc5,5,5,5,4,3,4,7,3,2,3,3,6,7,2
id_009,session_02,order_06,choc6,8,3,8,2,4,3,9,2,3,3,10,4,5,7
id_009,session_02,order_01,choc4,4,7,4,7,5,4,7,2,2,2,4,7,6,1
id_009,session_02,order_05,choc1,8,2,9,1,3,2,4,7,8,6,5,6,7,8
id_009,session_02,order_02,choc3,2,10,1,10,9,8,9,1,1,1,2,8,8,1
id_010,session_02,order_03,choc6,8,6,5,3,9,8,8,1,2,4,9,10,2,1
id_010,session_02,order_06,choc3,9,7,4,9,8,5,9,1,1,4,6,10,4,1
id_010,session_02,order_02,choc2,8,5,6,3,7,7,6,1,3,3,9,8,1,2
id_010,session_02,order_05,choc5,8,7,9,5,8,6,9,1,5,4,9,9,1,4
id_010,session_02,order_01,choc1,9,3,8,2,5,3,5,1,3,5,9,7,2,8
id_010,session_02,order_04,choc4,9,7,9,4,3,7,3,1,6,7,9,8,3,5
id_011,session_02,order_04,choc1,6,3,7,2,2,3,2,2,6,5,7,5,3,5
id_011,session_02,order_02,choc6,6,2,3,4,3,4,5,2,1,1,6,3,2,1
id_011,session_02,order_01,choc5,6,4,6,5,4,5,3,3,2,2,4,4,6,3
id_011,session_02,order_06,choc2,4,4,4,4,2,3,5,2,6,3,6,4,6,3
id_011,session_02,order_05,choc4,2,2,4,2,3,4,2,2,2,2,3,3,3,3
id_011,session_02,order_03,choc3,6,2,4,7,7,8,8,1,1,3,3,7,6,3
id_012,session_02,order_05,choc3,7,7,4,9,8,7,6,3,1,0,3,5,7,0
id_012,session_02,order_01,choc6,8,6,8,5,2,2,7,3,8,0,8,4,5,0
id_012,session_02,order_04,choc2,9,4,6,5,6,2,4,0,7,0,9,1,1,0
id_012,session_02,order_03,choc5,6,5,7,7,5,5,6,0,8,0,7,4,1,3
id_012,session_02,order_02,choc1,9,4,9,2,1,1,4,7,9,0,8,2,1,3
id_012,session_02,order_06,choc4,8,4,8,5,2,2,2,2,8,0,4,5,0,2
id_013,session_02,order_01,choc4,7,3,6,2,1,1,5,3,1,1,5,7,2,1
id_013,session_02,order_03,choc2,9,1,8,0,1,1,5,3,2,2,7,5,3,2
id_013,session_02,order_04,choc5,8,1,7,1,0,0,7,4,5,6,8,5,2,1
id_013,session_02,order_06,choc1,7,3,7,1,0,0,8,0,0,0,1,9,6,0
id_013,session_02,order_02,choc3,1,10,1,9,1,3,9,1,1,1,1,7,3,1
id_013,session_02,order_05,choc6,7,2,7,2,0,0,4,1,3,4,4,2,1,4
id_014,session_02,order_03,choc3,6,4,3,8,6,2,8,2,3,1,2,7,2,3
id_014,session_02,order_04,choc6,7,2,7,1,3,1,5,5,4,1,8,4,2,6
id_014,session_02,order_05,choc4,7,3,7,4,5,2,5,2,5,1,7,6,3,3
id_014,session_02,order_01,choc5,6,5,7,3,3,2,3,4,6,2,4,5,2,2
id_014,session_02,order_02,choc1,7,3,7,2,3,1,3,2,8,2,3,4,6,4
id_014,session_02,order_06,choc2,7,2,7,2,3,1,6,2,5,1,5,4,2,5
id_015,session_02,order_02,choc4,7,2,8,4,3,3,6,3,5,6,3,8,1,1
id_015,session_02,order_01,choc5,6,4,5,6,4,2,6,1,4,4,3,8,1,1
id_015,session_02,order_06,choc6,8,2,7,3,2,0,7,0,4,4,6,5,1,2
id_015,session_02,order_03,choc3,5,4,0,6,9,4,10,5,0,3,1,8,1,0
id_015,session_02,order_04,choc2,9,2,10,0,0,1,1,2,9,8,8,5,1,0
id_015,session_02,order_05,choc1,9,5,10,0,0,0,1,3,7,9,1,4,0,0
id_016,session_02,order_04,choc3,4,9,4,10,9,3,7,1,1,0,0,8,8,6
id_016,session_02,order_01,choc2,5,8,6,5,2,2,5,2,1,0,9,6,6,7
id_016,session_02,order_03,choc6,5,9,4,6,2,2,7,1,1,0,8,6,6,6
id_016,session_02,order_02,choc4,6,8,4,8,6,3,5,6,7,5,3,6,7,2
id_016,session_02,order_06,choc5,5,7,8,4,1,1,7,3,2,2,8,2,9,8
id_016,session_02,order_05,choc1,8,4,9,4,1,1,4,2,7,7,3,1,3,4
id_017,session_02,order_01,choc3,2,7,1,10,6,5,8,1,1,0,1,10,4,2
id_017,session_02,order_02,choc5,8,4,6,1,3,2,3,7,7,7,3,2,1,7
id_017,session_02,order_04,choc4,6,3,6,4,1,1,3,9,7,3,1,3,8,6
id_017,session_02,order_06,choc2,7,2,6,1,2,1,1,8,5,7,9,2,6,8
id_017,session_02,order_05,choc6,5,4,3,4,1,1,6,4,5,5,6,2,8,8
id_017,session_02,order_03,choc1,7,2,7,1,1,1,2,8,8,7,2,5,7,3
id_018,session_02,order_06,choc3,5,8,2,9,5,5,5,1,0,1,2,4,5,0
id_018,session_02,order_01,choc2,7,4,5,1,0,0,3,1,3,0,7,3,4,1
id_018,session_02,order_02,choc6,3,8,5,4,1,2,7,2,5,2,2,4,1,0
id_018,session_02,order_05,choc5,5,8,6,4,2,2,4,1,5,1,2,8,0,0
id_018,session_02,order_03,choc4,8,3,8,1,2,0,3,7,0,8,2,4,0,1
id_018,session_02,order_04,choc1,7,8,8,1,1,0,0,8,6,5,1,8,6,0
id_019,session_02,order_01,choc1,8,0,9,1,1,1,1,4,9,3,5,7,3,2
id_019,session_02,order_02,choc3,5,5,3,9,4,1,5,1,1,1,2,9,3,1
id_019,session_02,order_03,choc6,7,2,7,2,3,1,3,4,7,2,9,7,3,1
id_019,session_02,order_04,choc5,7,2,6,1,3,2,5,2,5,2,7,4,3,1
id_019,session_02,order_05,choc2,7,3,6,1,5,3,5,2,4,2,7,7,6,1
id_019,session_02,order_06,choc4,5,0,3,3,4,3,4,4,4,2,5,8,4,1
id_020,session_02,order_01,choc1,10,0,10,0,1,3,0,3,10,8,10,8,3,0
id_020,session_02,order_04,choc2,2,10,10,0,3,0,0,6,9,10,10,2,8,6
id_020,session_02,order_03,choc5,4,8,10,0,3,0,1,8,6,9,6,3,8,7
id_020,session_02,order_06,choc4,4,7,6,0,3,0,3,9,7,7,6,0,4,10
id_020,session_02,order_02,choc6,2,10,2,5,8,0,10,0,0,2,6,0,10,8
id_020,session_02,order_05,choc3,1,8,0,9,10,6,10,0,0,2,0,3,10,0
id_021,session_02,order_03,choc3,4,5,5,5,4,0,5,0,2,0,3,8,5,2
id_021,session_02,order_01,choc6,6,1,6,1,0,0,2,0,5,0,7,2,2,1
id_021,session_02,order_02,choc2,4,2,4,2,0,0,3,0,6,0,6,7,3,7
id_021,session_02,order_04,choc4,4,3,8,0,0,0,3,0,5,0,4,7,5,7
id_021,session_02,order_05,choc5,4,3,4,2,0,0,5,1,2,0,7,5,2,6
id_021,session_02,order_06,choc1,5,4,5,0,0,0,3,3,5,5,7,3,2,7
id_022,session_02,order_02,choc3,4,9,4,7,8,0,8,0,0,0,1,10,5,0
id_022,session_02,order_01,choc5,5,8,7,7,0,0,7,0,7,0,9,5,1,2
id_022,session_02,order_03,choc1,3,4,8,0,0,0,4,5,8,2,10,1,0,9
id_022,session_02,order_04,choc6,5,2,7,3,0,0,7,0,5,0,10,5,1,8
id_022,session_02,order_05,choc4,6,8,6,6,0,0,6,7,3,1,9,1,1,2
id_022,session_02,order_06,choc2,6,6,7,1,0,0,7,2,4,0,7,1,2,9
id_023,session_02,order_06,choc3,8,2,2,9,5,6,5,1,1,0,1,5,5,3
id_023,session_02,order_05,choc6,7,5,7,6,1,0,7,6,5,0,8,5,3,4
id_023,session_02,order_03,choc2,6,5,6,2,1,2,5,5,5,0,10,5,5,2
id_023,session_02,order_04,choc5,7,5,7,1,1,0,5,3,2,0,3,2,4,1
id_023,session_02,order_01,choc4,8,4,9,2,1,1,5,7,7,1,7,3,1,2
id_023,session_02,order_02,choc1,9,4,10,1,1,1,3,8,7,2,8,3,2,4
id_024,session_02,order_04,choc3,4,7,4,7,4,3,7,0,0,3,4,6,8,2
id_024,session_02,order_02,choc5,6,3,6,4,1,0,5,2,2,3,8,6,1,5
